# Rg    beta propensity
1.66439  10
1.66276  10.71428571
1.47397  10
1.47193  7.142857143
1.48151  8.571428571
1.56047  13.57142857
1.54803  12.14285714
1.49231  6.428571429
1.52189  4.285714286
1.53266  4.285714286
1.62106  22.85714286
1.53763  5.714285714
1.63048  22.85714286
1.49472  4.285714286
1.56172  11.42857143
1.49792  2.857142857
1.49932  4.285714286
1.49347  1.428571429
1.55526  13.57142857
1.47446  8.571428571
1.47063  12.14285714
1.55539  10
 1.4659  13.57142857
1.46008  16.42857143
1.46552  10
1.46612  19.28571429
1.45386  16.42857143
1.46891  8.571428571
1.46163  14.28571429
1.46445  8.571428571
1.46639  19.28571429
1.47383  7.142857143
1.49765  4.285714286
1.47145  7.142857143
1.48959  5
1.48061  7.142857143
1.49212  20
1.45282  7.142857143
1.45837  10
1.50536  6.428571429
1.50285  4.285714286
1.47667  2.857142857
1.50246  5.714285714
1.50898  5.714285714
1.53016  4.285714286
1.53162  7.857142857
1.48503  2.857142857
1.51945  6.428571429
 1.5744  13.57142857
1.56744  13.57142857
1.50057  19.28571429
1.48486  20.71428571
1.49196  6.428571429
1.50188  4.285714286
1.45887  17.14285714
1.53883  13.57142857
1.53997  10
1.54232  10
1.49182  2.857142857
1.49858  2.857142857
1.50403  5.714285714
1.54527  5.714285714
1.49078  6.428571429
1.48289  2.857142857
1.53168  7.142857143
1.59231  13.57142857
1.45738  15
1.53482  5.714285714
 1.6331  22.85714286
 1.5061  7.142857143
1.49714  2.857142857
1.49533  5.714285714
1.53095  8.571428571
1.54079  7.857142857
1.49069  19.28571429
 1.5047  4.285714286
1.51177  5.714285714
1.48181  2.857142857
 1.5004  5.714285714
1.49176  4.285714286
1.54025  5.714285714
1.48967  5.714285714
1.55352  5.714285714
1.54991  5.714285714
  1.497  4.285714286
1.53611  10.71428571
1.59821  13.57142857
1.58431  15
1.46961  14.28571429
1.54799  11.42857143
1.59533  13.57142857
1.46784  14.28571429
1.45993  16.42857143
1.46124  17.14285714
1.54272  10.71428571
1.46102  7.142857143
1.48651  7.857142857
1.53054  10.71428571
1.50279  7.142857143
1.45524  15.71428571
1.46983  7.857142857
